objID,RA,DEC,redshift,u,g,r,i,z,HAlpha_sigma_width,HBeta_flux,HBeta_flux_err,OIII_5007_flux,OIII_5007_flux_err,HAlpha_flux,HAlpha_flux_err,NII_6584_flux,NII_6584_flux_err
1237652901822070882,0.478166666666666,-8.934333333333331,0.0461691,19.22106,17.33896,16.49219,16.08952,15.77467,127.9996,14.08303,2.827703,29.66906,3.262828,57.65471,3.959797,43.73808,3.464418
1237652900748394608,0.6978333333333325,-9.816111111111105,0.07683234,18.26073,16.40081,15.52124,15.10257,14.79844,117.463,10.15895,3.281658,20.52663,3.281435,32.23404,3.832221,45.21643,3.504216
1237652901822136417,0.6994166666666661,-9.045055555555553,0.04608681,19.06143,17.84934,17.42775,17.16167,17.04709,44.04474,26.74554,1.779745,23.81362,1.841313,116.873,2.682487,27.84335,1.422942
1237652900748460092,0.7412083333333331,-9.954805555555557,0.07468309,19.62162,17.89325,17.06086,16.68106,16.389,29.30496,5.452823,1.425141,14.74062,1.940197,18.90141,1.635298,15.34171,1.689626
1237652900211589215,0.7967916666666663,-10.239166666666664,0.06185001,18.02806,16.59918,15.95077,15.61805,15.43367,42.36758,26.97866,2.281235,7.228545,2.092861,107.0186,2.575197,33.5176,1.954281
1237652900748525657,0.968208333333333,-9.943583333333331,0.07677884,20.21819,18.26354,17.34467,16.87621,16.51792,80.24655,6.487112,1.999667,5.425986,2.128732,44.24121,2.186999,30.34167,2.096853
1237652900211654777,0.9685833333333328,-10.394999999999996,0.0881128,19.13239,17.28771,16.34192,15.93159,15.58795,153.1456,7.706396,3.609836,14.09867,4.138082,42.27568,4.304471,41.4515,4.501965
1237652900211654786,0.9856666666666657,-10.35133333333333,0.08719215,18.17832,16.27166,15.41903,15.00594,14.68412,203.6601,27.01982,5.319873,48.44422,5.84092,131.3763,7.278211,231.3574,7.439901
1237652900748591228,1.0667499999999994,-9.95775,0.06359917,18.30123,17.16546,16.80404,16.52518,16.38948,57.20868,148.0082,2.976046,162.972,3.326406,532.078,4.990825,180.2714,2.705493
1237652900748591236,1.1025416666666665,-9.847499999999997,0.06352632,19.1646,18.02323,17.57271,17.25116,17.10207,39.34972,106.5165,2.796048,40.54804,2.410045,432.5968,4.630094,142.3271,2.534122
